sl_no,name,launch_date,launch_vehicle,orbit_type,application,remarks,details_url,description,update_summary,launch_pad,satellite,navic_context,pdf_brochure_url
121,Chandrayaan-3,"July 14, 2023",LVM3 M4 / Chandrayaan-3 Mission,Lunar,Planetary Observation,,https://www.isro.gov.in/Chandrayaan3_Details.html,"Chandrayaan-3 is a follow-on mission to Chandrayaan-2 to demonstrate end-to-end capability in safe landing and roving on the lunar surface. It consists of Lander and Rover configuration. It will be launched by LVM3 from SDSC SHAR, Sriharikota. The propulsion module will carry the lander and rover configuration till 100 km lunar orbit. The propulsion module has Spectro-polarimetry of Habitable Planet Earth (SHAPE) payload to study the spectral and Polari metric measurements of Earth from the lunar orbit.
Lander payloads:Chandra’s Surface Thermophysical Experiment (ChaSTE) to measure the thermal conductivity and temperature; Instrument for Lunar Seismic Activity (ILSA) for measuring the seismicity around the landing site; Langmuir Probe (LP) to estimate the plasma density and its variations. A passive Laser Retroreflector Array from NASA is accommodated for lunar laser ranging studies.
Rover payloads:Alpha Particle X-ray Spectrometer (APXS) and Laser Induced Breakdown Spectroscope (LIBS) for deriving the elemental composition in the vicinity of landing site.
Chandrayaan-3 consists of an indigenous Lander module (LM), Propulsion module (PM) and a Rover with an objective of developing and demonstrating new technologies required for Inter planetary missions. The Lander will have the capability to soft land at a specified lunar site and deploy the Rover which will carry out in-situ chemical analysis of the lunar surface during the course of its mobility. The Lander and the Rover have scientific payloads to carry out experiments on the lunar surface.  The main function of PM is to carry the LM from launch vehicle injection till final lunar 100 km circular polar orbit and separate the LM from PM.   Apart from this, the Propulsion Module also has one scientific payload as a value addition which will be operated post separation of Lander Module. The launcher identified for Chandrayaan-3 is LVM3 M4 which will place the integrated module in an Elliptic Parking Orbit (EPO) of size ~170 x 36500 km.
The mission objectives of Chandrayaan-3 are:

To achieve the mission objectives, several advanced technologies are present in Lander such as,

To demonstrate the above said advanced technologies in earth condition, several Lander special tests have been planned and carried out successfully viz.
The overall specifications for Chandrayaan-3 is provided below:
The objectives of scientific payloads planned on Chandrayaan-3 Lander Module and Rover are provided below:
Three dimensional views of Chandrayaan-3 modules are provided below:","The overall specifications for Chandrayaan-3 is provided below:
The objectives of scientific payloads planned on Chandrayaan-3 Lander Module and Rover are provided below:
Three dimensional views of Chandrayaan-3 modules are provided below:",,,,https://www.isro.gov.in/media_isro/pdf/Missions/LVM3/LVM3M4_Chandrayaan3_brochure.pdf
120,NVS-01,"May 29, 2023",GSLV-F12/NVS-01 Mission,,Navigation,,https://www.isro.gov.in/GSLV_F12_Landingpage.html,"May 22, 2023

GSLV-F12/NVS-01 mission is accomplished successfully on Monday, May 29, 2023.  This Geosynchronous Satellite Launch Vehicle (GSLV) mission deployed NVS-01 navigation satellite, weighing about 2232 kg, into a Geosynchronous Transfer Orbit. The vehicle lifted off at 10:42 hours IST from the second launch pad at SDSC-SHAR, Sriharikota and injected the satellite after about 19 minutes of flight.
NVS-01 is the first of the second-generation satellites envisaged for the Navigation with Indian Constellation (NavIC) services. NVS series of satellites will sustain and augment the NavIC with enhanced features. This series incorporates L1 band signals additionally to widen the services. For the first time, an indigenous atomic clock will be flown in NVS-01.","
GSLV-F12/NVS-01 mission is accomplished successfully on Monday, May 29, 2023.  This Geosynchronous Satellite Launch Vehicle (GSLV) mission deployed NVS-01 navigation satellite, weighing about 2232 kg, into a Geosynchronous Transfer Orbit. The vehicle lifted off at 10:42 hours IST from the second launch pad at SDSC-SHAR, Sriharikota and injected the satellite after about 19 minutes of flight.
NVS-01 is the first of the second-generation satellites envisaged for the Navigation with Indian Constellation (NavIC) services. NVS series of satellites will sustain and augment the NavIC with enhanced features. This series incorporates L1 band signals additionally to widen the services. For the first time, an indigenous atomic clock will be flown in NVS-01.","GSLV-F12/NVS-01 mission is accomplished successfully on Monday, May 29, 2023.  This Geosynchronous Satellite Launch Vehicle (GSLV) mission deployed NVS-01 navigation satellite, weighing about 2232 kg, into a Geosynchronous Transfer Orbit. The vehicle lifted off at 10:42 hours IST from the second launch pad at SDSC-SHAR, Sriharikota and injected the satellite after about 19 minutes of flight.",,"NVS-01 is the first of the second-generation satellites envisaged for the Navigation with Indian Constellation (NavIC) services. NVS series of satellites will sustain and augment the NavIC with enhanced features. This series incorporates L1 band signals additionally to widen the services. For the first time, an indigenous atomic clock will be flown in NVS-01.",https://www.isro.gov.in/media_isro/pdf/Missions/GSLVF12/GSLVF12_NVS01_Mission.pdf
119,EOS-07,"Feb 10, 2023",SSLV-D2/EOS-07 Mission,,Earth Observation,,https://www.isro.gov.in/EOS_07.html,"Feb 22, 2023

Mission Parameter:

Structure:

Structure:

Thermal Control:

Mechanism:

Power:

Sensors:

Actuators:

AOCS:

Onboard Computer:

RF System:

Data Handling & Storage:

Major Payloads: -
","
Major Payloads: -
",,,,
118,INS-2B,"Nov 26, 2022","PSLV-C54/EOS-06
                                          Mission",,Earth Observation,,https://www.isro.gov.in/EOS_06.html#eos,"Nov 22, 2022Back to ISRO
                                        Timeline
Global false colour composite mosaic generated from EOS-06 data

EOS-6 is the third-generation satellite
in the Oceansat series. This is to provide
continuity services of Oceansat-2
spacecraft with enhanced payload
specifications as well as application areas.


","

",,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC54/PSLVC54_EOS6_BrochureV4.pdf
117,EOS-06,"Nov 26, 2022","PSLV-C54/EOS-06
                                          Mission",,Earth Observation,,https://www.isro.gov.in/EOS_06.html,"Nov 22, 2022Back to ISRO
                                        Timeline
Global false colour composite mosaic generated from EOS-06 data

EOS-6 is the third-generation satellite
in the Oceansat series. This is to provide
continuity services of Oceansat-2
spacecraft with enhanced payload
specifications as well as application areas.


","

",,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC54/PSLVC54_EOS6_BrochureV4.pdf
116,EOS-02,"Aug 07, 2022","SSLV-D1/EOS-02
                                          Mission",,Earth Observation,,https://www.isro.gov.in/mission_EOS_02.html,"Aug 07, 2022
EOS-02 is an earth observation satellite designed and realised by ISRO. This microsat series satellite offers advanced optical remote sensing operating in infra-red band with high spatial resolution. The bus configuration is derived from IMS-1 bus.
प्रमोचक राकेट / Launch Vehicle:SSLV-D1/EOS-02 Missionउपग्रह का प्रकार / Type of Satellite:Earth Observationनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Earth Observation",,,,,https://www.isro.gov.in/media_isro/pdf/Missions/sslv_brochure/sslvd1-eos2_-_mission_brochure.pdf
115,GSAT-24,"Jun 23, 2022",Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_24.html,,,,,,
114,INS-2TD,"Feb 14, 2022","PSLV-C52/EOS-04
                                          Mission",,Experimental,,https://www.isro.gov.in/mission_PSLV_C52_INS_2TD.html,"INS-2TD a technology demonstrator satellite from ISRO, which is a
                                    precursor to India-Bhutan Joint Satellite (INS-2B).
प्रमोचक राकेट / Launch Vehicle:PSLV-C52/EOS-04 Missionउपग्रह का प्रकार / Type of Satellite:Experimentalनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Experimental",,,,,https://www.isro.gov.in/media_isro/pdf/Missions/pslv-c52-eos-04-v4.pdf
113,EOS-04,"Feb 14, 2022","PSLV-C52/EOS-04
                                          Mission",,Earth Observation,,https://www.isro.gov.in/mission_PSLV_C52_EOS_04.html,"EOS-04 is a Radar Imaging Satellite designed to provide high quality
                                    images under all weather conditions for applications such as
                                    Agriculture, Forestry & Plantations, Soil Moisture & Hydrology and Flood
                                    mapping.
प्रमोचक राकेट / Launch Vehicle:PSLV-C52/EOS-04 Missionउपग्रह का प्रकार / Type of Satellite:Earth Observationअनुप्रयोग / Application:Earth Observation",,,,,https://www.isro.gov.in/media_isro/pdf/Missions/pslv-c52-eos-04-v4.pdf
112,EOS-03,"Aug 12, 2021","GSLV-F10 /
                                          EOS-03
                                          Mission",GTO (Geosynchronous Transfer Orbit),Earth Observation,Launch unsuccessful,https://www.isro.gov.in/EOS_03.html,"Aug 12, 2021Back to ISRO Timeline",,,,,https://www.isro.gov.in/media_isro/pdf/gslv_f10_eos-03_mission_brochure.pdf
111,CMS-01,"Dec 17, 2020",PSLV-C50/CMS-01,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/mission_PSLV_C50_CMS_01.html,"CMS-01 is a communication satellite envisaged for providing services in
                                    Extended-C Band of the frequency spectrum. The Extended-C Band coverage
                                    will include Indian mainland, Andaman-Nicobar & Lakshadweep Islands.
                                    CMS-01 is the 42nd Communication Satellite of India.
मिशन कालावधि / Mission Life:7 yearsप्रमोचक राकेट / Launch Vehicle:PSLV-C50/CMS-01उपग्रह का प्रकार / Type of Satellite:Communicationनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Communicationकक्षा का प्रकार / Orbit Type:GSO (Geosynchronous Orbit)",,,,,https://www.isro.gov.in/media_isro/pdf/Missions/pslv-c50_cms-01_mission_-_brochure_-_ver_8.pdf
110,EOS-01,"Nov 07, 2020",PSLV-C49/EOS-01,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",,https://www.isro.gov.in/mission_PSLV_C49_EOS_01.html,"EOS-01 is an earth observation satellite, intended for applications in
                                    agriculture, forestry and disaster management support.
प्रमोचक राकेट / Launch Vehicle:PSLV-C49/EOS-01उपग्रह का प्रकार / Type of Satellite:Earth Observationनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Disaster Management System Earth
                                    Observationकक्षा का प्रकार / Orbit Type:LEO (Low Earth Orbit)",,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C49%20EOS-01%20Mission.pdf
109,GSAT-30,"Jan 17, 2020",Ariane-5 VA-251,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_30.html,Back to ISRO Timeline,,,,,
108,RISAT-2BR1,"Dec 11, 2019",PSLV-C48/RISAT-2BR1,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",,https://www.isro.gov.in/RISAT_2BR1.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC48/PSLV-C48RISAT-2BR1Mission.pdf
107,Cartosat-3,"Nov 27, 2019","PSLV-C47 /
                                          Cartosat-3 Mission",SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/Cartosat_3.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC47/PSLV_C47LaunchKit_cdr.pdf
106,Chandrayaan2,"Jul 22, 2019","GSLV-Mk
                                          III
                                          - M1 / Chandrayaan-2 Mission",Lunar,Planetary Observation,,https://www.isro.gov.in/Chandrayaan_2.html,"Jul 22,2019",,,,,
105,RISAT-2B,"May 22, 2019",PSLV-C46 Mission,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",,https://www.isro.gov.in/RISAT_2B.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC46/PSLV-C46RISAT2Blaunchkit.pdf
104,EMISAT,"Apr 01, 2019","PSLV-C45/EMISAT
                                          MISSION",SSPO (Sun Synchronous Polar Orbit),,,https://www.isro.gov.in/EMISAT.html,,,,,,
103,GSAT-31,"Feb 06, 2019",Ariane-5 VA-247,GTO (Geosynchronous Transfer Orbit),Communication,,https://www.isro.gov.in/GSAT31.html,"Back to ISRO Timeline
Feb 06, 2019",,,,,https://www.isro.gov.in/media_isro/pdf/GSAT-31Brochure.pdf
102,Microsat-R,"Jan 24, 2019",PSLV-C44,SSPO (Sun Synchronous Polar Orbit),,,https://www.isro.gov.in/Microsat_R.html,"Microsat-R, an imaging satellite was successfully injected into intended orbit of
                                        274 km by PSLV-C44 on January 24, 2019",,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV_C44_Broucher.pdf
101,GSAT-7A,"Dec 19, 2018","GSLV-F11 /
                                          GSAT-7A Mission",,Communication,,https://www.isro.gov.in/GSAT_7A.html,"Dec 19, 2018
GSAT-7A is the 35th Indian Communication satellite built by ISRO. GSAT-7A
                                        Spacecraft is configured on ISRO’s standard I-2000 Kg (I-2K) Bus. The
                                        Satellite is built to provide communication capability to the users in
                                        Ku-band over the Indian region.",,,,,
100,GSAT-11 Mission,"Dec 05, 2018",Ariane-5 VA-246,GTO (Geosynchronous Transfer Orbit),Communication,,https://www.isro.gov.in/GSAT_11.html,"Back to ISRO Timeline
Dec 05, 2018",,,,,https://www.isro.gov.in/media_isro/pdf/GSAT-11%20Brochure.pdf
99,HysIS,"Nov 29, 2018","PSLV-C43 /
                                          HysIS Mission",SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/HysIS.html,,,,,,https://www.isro.gov.in/media_isro/pdf/PSLV_C43_HysIS_Brochure.pdf
98,GSAT-29,"Nov 14, 2018","GSLV Mk
                                          III-D2 / GSAT-29 Mission",GTO (Geosynchronous Transfer Orbit),Communication,,https://www.isro.gov.in/GSAT_29.html,"Nov 14,2018",,,,,https://www.isro.gov.in/media_isro/image/media/Missions/GSLV-MK/GSAT29/more/pdf/GSLV%20Mk%20III%20-%20D2%20.pdf
97,IRNSS-1I,"Apr 12, 2018",PSLV-C41/IRNSS-1I,GSO (Geosynchronous Orbit),Navigation,,https://www.isro.gov.in/IRNSS_1I.html,,,,,,
96,GSAT-6A,"Mar 29, 2018","GSLV-F08/GSAT-6A
                                          Mission",GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_6A.html,"Mar 29, 2018",,,,,
95,INS-1C,"Jan 12, 2018","PSLV-C40/Cartosat-2
                                          Series Satellite Mission",SSPO (Sun Synchronous Polar Orbit),Experimental,,https://www.isro.gov.in/INS_1C.html,,,,,,
94,Microsat,"Jan 12, 2018","PSLV-C40/Cartosat-2
                                          Series Satellite Mission",SSPO (Sun Synchronous Polar Orbit),Experimental,,https://www.isro.gov.in/Microsat.html,,,,,,
93,"Cartosat-2 Series
                                             Satellite","Jan 12, 2018","PSLV-C40/Cartosat-2
                                          Series Satellite Mission",SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/CARTOSAT_2_PSLVC40.html,,,,,,
92,IRNSS-1H,"Aug 31, 2017","PSLV-C39/IRNSS-1H
                                          Mission",,Navigation,Launch Unsuccessful,https://www.isro.gov.in/IRNSS_1H.html,,,,,,
91,GSAT-1,"Jun 29, 2017",Ariane-5 VA-238,GTO (Geosynchronous Transfer Orbit),Communication,,https://www.isro.gov.in/GSAT_17.html,"June 29, 2017Back to ISRO Timeline",,,,,
90,"Cartosat-2 Series
                                             Satellite","Jun 23, 2017","PSLV-C38
                                          / Cartosat-2 Series Satellite",SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/CARTOSAT_2_PSLVC38.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C38.pdf
89,GSAT-19,"Jun 05, 2017","GSLV Mk
                                          III-D1/GSAT-19 Mission",GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_19.html,"Jun 05,2017",,,,,https://www.isro.gov.in/media_isro/image/media/Missions/GSLV-MK/GSAT19/more/pdf/GSLV_Mark_III_D1.pdf
88,GSAT-9,"May 05, 2017",GSLV-F09 / GSAT-9,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_9.html,"May 05, 2017",,,,,
87,Cartosat -2 Series Satellite,"Feb 15, 2017","PSLV-C37
                                          / Cartosat -2 Series Satellite",SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/CARTOSAT_2_PSLVC37.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C37.pdf
86,INS-1A,"Feb 15, 2017","PSLV-C37
                                          / Cartosat -2 Series Satellite",SSPO (Sun Synchronous Polar Orbit),Experimental,,https://www.isro.gov.in/INS_1A.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C37.pdf
85,INS-1B,"Feb 15, 2017","PSLV-C37
                                          / Cartosat -2 Series Satellite",SSPO (Sun Synchronous Polar Orbit),Experimental,,https://www.isro.gov.in/INS_1B.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C37.pdf
84,RESOURCESAT-2A,"Dec 07, 2016","PSLV-C36 /
                                          RESOURCESAT-2A",SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/RESOURCESAT_2A.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C36.pdf
83,GSAT-18,"Oct 06, 2016",Ariane-5 VA-231,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_18.html,"October 06, 2016Back to ISRO Timeline
",,,,,https://www.isro.gov.in/media_isro/pdf/GSAT%2018%20-%20Brochure.pdf
82,SCATSAT-1,"Sep 26, 2016","PSLV-C35 /
                                          SCATSAT-1",SSPO (Sun Synchronous Polar Orbit),Climate & Environment,,https://www.isro.gov.in/SCATSAT_1.html,,,,,,
81,INSAT-3DR,"Sep 08, 2016","GSLV-F05 /
                                          INSAT-3DR",GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",,https://www.isro.gov.in/INSAT_3DR.html,"Sep 08, 2016",,,,,
80,"CARTOSAT-2 Series
                                             Satellite","Jun 22, 2016","PSLV-C34
                                          / CARTOSAT-2 Series Satellite",SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/CARTOSAT_2_PSLVC34.html,,,,,,
79,IRNSS-1G,"Apr 28, 2016",PSLV-C33/IRNSS-1G,GEO,Navigation,,https://www.isro.gov.in/IRNSS_1G.html,"This is the thirty-fourth consecutively successful
                                        mission of PSLV, repeatedly proving its reliability and versatility.",,,,,https://www.isro.gov.in/media_isro/image/media/Missions/PSLV/more/PSLV33/publication_pslv33.pdf
78,IRNSS-1F,"Mar 10, 2016",PSLV-C32/IRNSS-1F,GEO,Navigation,,https://www.isro.gov.in/IRNSS_1F.html,"IRNSS-1F is the sixth navigation satellite of the seven satellites constituting
                                        the Indian Regional Navigation Satellite System (IRNSS) space segment. Its
                                        predecessors, IRNSS-1A, 1B, 1C, 1D and 1E were successfully launched by
                                        PSLV-C22, PSLV-C24, PSLV-C26, PSLV-C27 and PSLV-C31 in July 2013, April 2014,
                                        October 2014, March 2015 and January 2016 respectively. All the five satellites
                                        are functioning satisfactorily from their designated orbital positions.
IRNSS-1F has a lift-off mass of 1425 kg. The configuration of IRNSS-1F is similar
                                    to that of IRNSS-1A, 1B, 1C, 1D and 1E. The two solar arrays of IRNSS-1F
                                    consisting of Ultra Triple Junction solar cells generate about 1660 Watts of
                                    electrical power. Sun and Star sensors as well as gyroscopes provide orientation
                                    reference for the satellite. Special thermal control schemes have been designed
                                    and implemented for some of the critical elements such as atomic clocks. The
                                    Attitude and Orbit Control System (AOCS) of IRNSS-1F maintains the satellite's
                                    orientation with the help of reaction wheels, magnetic torques and thrusters.
                                    Its propulsion system consists of a Liquid Apogee Motor (LAM) and thrusters.
IRNSS -1F carries two types of payloads – navigation payload and ranging payload.
                                    The navigation payload of IRNSS-1F transmits navigation service signals to the
                                    users. This payload is operating in L5-band and S-band. A highly accurate
                                    Rubidium atomic clock is part of the navigation payload of the satellite. The
                                    ranging payload of IRNSS-1F consists of a C-band transponder, which facilitates
                                    accurate determination of the range of the satellite. IRNSS-1F also carries
                                    Corner Cube Retro Reflectors for laser ranging.
IRNSS-1F was launched by PSLV-C32 into a sub Geosynchronous Transfer Orbit (sub
                                    GTO) on March 10, 2016 at 16:01 hrs (IST) from Satish Dhawan Space Centre (SDSC)
                                    SHAR, Sriharikota.","IRNSS-1F has a lift-off mass of 1425 kg. The configuration of IRNSS-1F is similar
                                    to that of IRNSS-1A, 1B, 1C, 1D and 1E. The two solar arrays of IRNSS-1F
                                    consisting of Ultra Triple Junction solar cells generate about 1660 Watts of
                                    electrical power. Sun and Star sensors as well as gyroscopes provide orientation
                                    reference for the satellite. Special thermal control schemes have been designed
                                    and implemented for some of the critical elements such as atomic clocks. The
                                    Attitude and Orbit Control System (AOCS) of IRNSS-1F maintains the satellite's
                                    orientation with the help of reaction wheels, magnetic torques and thrusters.
                                    Its propulsion system consists of a Liquid Apogee Motor (LAM) and thrusters.
IRNSS -1F carries two types of payloads – navigation payload and ranging payload.
                                    The navigation payload of IRNSS-1F transmits navigation service signals to the
                                    users. This payload is operating in L5-band and S-band. A highly accurate
                                    Rubidium atomic clock is part of the navigation payload of the satellite. The
                                    ranging payload of IRNSS-1F consists of a C-band transponder, which facilitates
                                    accurate determination of the range of the satellite. IRNSS-1F also carries
                                    Corner Cube Retro Reflectors for laser ranging.
IRNSS-1F was launched by PSLV-C32 into a sub Geosynchronous Transfer Orbit (sub
                                    GTO) on March 10, 2016 at 16:01 hrs (IST) from Satish Dhawan Space Centre (SDSC)
                                    SHAR, Sriharikota.",,,,https://www.isro.gov.in/media_isro/image/media/Missions/PSLV/more/PSLV32/publication_pslv32.pdf
77,IRNSS-1E,"Jan 20, 2016",PSLV-C31/IRNSS-1E,GSO (Geosynchronous Orbit),Navigation,,https://www.isro.gov.in/IRNSS_1E.html,,,,,,https://www.isro.gov.in/media_isro/image/media/Missions/PSLV/more/PSLV31/publication_PSLV31.pdf
76,GSAT-15,"Nov 11, 2015",Ariane-5 VA-227,GEO,"Communication, Navigation",,https://www.isro.gov.in/GSAT_15.html,"Jul 10, 2015Back to ISRO Timeline",,,,,
75,Astrosat,"Sep 28, 2015","PSLV-C30/AstroSat
                                          MISSION",,Space Science,,https://www.isro.gov.in/Astrosat_Spacecraft.html,"AstroSat is India’s first dedicated Space Astronomy Observatory launched into a 650-km, 6° inclination orbit on September 28, 2015, with a lift-off mass of 1515 kg, by PSLV-C30 (XL) rocket from Satish Dhawan Space Centre Sriharikota. AstroSat carries a total of five scientific payloads enabling imaging, studying temporal and spectral properties of galactic and extra- galactic cosmic sources in a wide range of wavelengths on a common platform.
The unique feature of this observatory is its capability for carrying out broad band simultaneous multi-wavelength observation going from far ultra violet to gamma rays. UVIT has the highest angular resolution of 1.5 arc sec which is 3 times better than the next best UV telescope (GALEX-Galaxy evolution explorer) operational today. LAXPC has the highest collecting area in comparison to any other X-ray detector till today. CZTI possesses a unique capability of measuring X-ray polarization and also acts as an open detector beyond 100 keV.
ISRO enabled Indian academic institutions Tata Institute of Fundamental Research (TIFR) Mumbai, Indian Institute of Astrophysics (IIA) Bangalore, Inter University Centre for Astronomy &Astrophysics (IUCAA) Pune and Physical research laboratory (PRL) Ahmedabad

","ISRO enabled Indian academic institutions Tata Institute of Fundamental Research (TIFR) Mumbai, Indian Institute of Astrophysics (IIA) Bangalore, Inter University Centre for Astronomy &Astrophysics (IUCAA) Pune and Physical research laboratory (PRL) Ahmedabad

",,,,
74,GSAT-6,"Aug 27, 2015",GSLV-D6,GTO (Geosynchronous Transfer Orbit),Communication,,https://www.isro.gov.in/GSAT_6.html,,,,,,https://www.isro.gov.in/media_isro/pdf/GSLVD6/publication_gslvd6.pdf
73,IRNSS-1D,"Mar 28, 2015",PSLV-C27/IRNSS-1D,GSO (Geosynchronous Orbit),Navigation,,https://www.isro.gov.in/IRNSS_1D.html,,,,,,
72,"Crew module Atmospheric Re-entry
                                             Experiment (CARE)","Dec 18, 2014","LVM-3/CARE
                                          Mission",,Experimental,,https://www.isro.gov.in/CARE.html,"Dec 18,2014",,,,,https://www.isro.gov.in/media_isro/pdf/LVM3-brochure.pdf
71,GSAT-16,"Dec 07, 2014",Ariane-5 VA-221,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_16.html,"Apr 04, 2014Back to ISRO Timeline",,,,,
70,IRNSS-1C,"Oct 16, 2014",PSLV-C26/IRNSS-1C,GEO,Navigation,,https://www.isro.gov.in/IRNSS_1C.html,,,,,,
69,IRNSS-1B,"Apr 04, 2014",PSLV-C24/IRNSS-1B,GSO (Geosynchronous Orbit),Navigation,,https://www.isro.gov.in/IRNSS_1B.html,,,,,,
68,GSAT-14,"Jan 05, 2014",GSLV-D5/GSAT-14,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_14.html,"Jan 05, 2014",,,,,
67,"Mars Orbiter Mission
                                             Spacecraft","Nov 05, 2013",PSLV-C25,Martian,Planetary Observation,,https://www.isro.gov.in/MarsOrbiterMissionSpacecraft.html,"Mars Orbiter Mission (MOM), India's first interplanetary mission to planet Mars was launchedonboard PSLV-C25 on November 05, 2013. ISRO has become the fourth space agency to successfully send a spacecraft to Mars orbit.Though the designed mission life is 6 months, MOM completed 7 years in its orbit on Sept 24, 2021.
The objectives of this mission are primarily technological and include design, realisation and launch of a Mars Orbiter spacecraft capable of operating with sufficient autonomy during the journey phase; Mars orbit insertion / capture and in-orbit phase around Mars.   MOM carries five scientific payloads to study the Martian surface features, morphology, mineralogy and Martian atmosphere.
Mars continues to be an object of keen interest to scientists in the context of planetary evolution and extra-terrestrial life. Based on our understanding of Mars, which was thought to be probably a warm and wet planet earlier, is now seen to be dry with a thin atmosphere. How this evolution has taken place is still a topic of research. In this backdrop, the Indian Mars Orbiter Mission carried the following five scientific payloads:



The main objective of the Mars Colour camera therefore is:
The salient features of this instrument are given below: -


The Primary science objective of this payload is to detect and measure methane concentration in Martian atmosphere (if it does exist) under clear sky conditions.Other studies which are possible are:
The instrument features are given below: -


This spectrometer operates in the thermal infrared (TIR) region (7 micron to 13 micron). TIS has been configured with an un-cooled micro-bolometer array that saves significantly in terms of weight and power when compared to a cooled IR detector. This payload is developed by Space Applications Centre, Ahmedabad.
The instrument features are:


MENCA, a quadrupole mass spectrometer, consists of a filament, detectors and associated electronics system. The detectors being used in MENCA are Channel Electron Multiplier (CEM) and Faraday Cup (FC). A suitable combination of Radio Frequency and DC voltages are applied to the alternate pairs of quadrupole rods to accomplish the mass separation and thereby the determination of partial pressure of species. Also, MENCA has an in-built pressure gauge for the measurement of total pressure. In addition to acquiring the mass spectra in a specified mass range (which can be varied), the instrument has a provision to study the time-evolution of a set of selectable species in the trend mode of operation. The dynamic range of the instrument is in the order of 1010.



Scientific analysis of the data being received from the Mars Orbiter spacecraft is in progress. Scientific Data archived at ISSDC is made available to user communities.","

Scientific analysis of the data being received from the Mars Orbiter spacecraft is in progress. Scientific Data archived at ISSDC is made available to user communities.",,,,
66,GSAT-7,"Aug 30, 2013",Ariane-5 VA-215,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT_7.html,,,,,,
65,INSAT-3D,"Jul 26, 2013",Ariane-5 VA-214,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",,https://www.isro.gov.in/INSAT_3D.html,Back to ISRO Timeline,,,,,
64,IRNSS-1A,"Jul 01, 2013",PSLV-C22/IRNSS-1A,GSO (Geosynchronous Orbit),Navigation,,https://www.isro.gov.in/IRNSS_1A.html,,,,,,
63,SARAL,"Feb 25, 2013",PSLV-C20/SARAL,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",,https://www.isro.gov.in/SARAL.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/publication_PSLVC20.pdf
62,GSAT-10,"Sep 29, 2012",Ariane-5 VA-209,GEO,"Communication, Navigation",,https://www.isro.gov.in/GSAT_10.html,Back to ISRO Timeline,,,,,
61,RISAT-1,"Apr 26, 2012",PSLV-C19/RISAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,,https://www.isro.gov.in/RISAT_1.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/publication_PSLVC19.pdf
