name,launch_date,launch_vehicle,orbit_type,application,details_url,pdf_brochure_url,description,launch_vehicle_raw
Chandrayaan-3,2023-07-14,LVM3 M4,Lunar,Planetary Observation,https://www.isro.gov.in/Chandrayaan3_Details.html,https://www.isro.gov.in/media_isro/pdf/Missions/LVM3/LVM3M4_Chandrayaan3_brochure.pdf,"Chandrayaan-3 is a follow-on mission to Chandrayaan-2 to demonstrate end-to-end capability in safe landing and roving on the lunar surface. It consists of Lander and Rover configuration. It will be launched by LVM3 from SDSC SHAR, Sriharikota. The propulsion module will carry the lander and rover configuration till 100 km lunar orbit. The propulsion module has Spectro-polarimetry of Habitable Planet Earth (SHAPE) payload to study the spectral and Polari metric measurements of Earth from the lunar orbit.
Lander payloads:Chandra’s Surface Thermophysical Experiment (ChaSTE) to measure the thermal conductivity and temperature; Instrument for Lunar Seismic Activity (ILSA) for measuring the seismicity around the landing site; Langmuir Probe (LP) to estimate the plasma density and its variations. A passive Laser Retroreflector Array from NASA is accommodated for lunar laser ranging studies.
Rover payloads:Alpha Particle X-ray Spectrometer (APXS) and Laser Induced Breakdown Spectroscope (LIBS) for deriving the elemental composition in the vicinity of landing site.
Chandrayaan-3 consists of an indigenous Lander module (LM), Propulsion module (PM) and a Rover with an objective of developing and demonstrating new technologies required for Inter planetary missions. The Lander will have the capability to soft land at a specified lunar site and deploy the Rover which will carry out in-situ chemical analysis of the lunar surface during the course of its mobility. The Lander and the Rover have scientific payloads to carry out experiments on the lunar surface.  The main function of PM is to carry the LM from launch vehicle injection till final lunar 100 km circular polar orbit and separate the LM from PM.   Apart from this, the Propulsion Module also has one scientific payload as a value addition which will be operated post separation of Lander Module. The launcher identified for Chandrayaan-3 is LVM3 M4 which will place the integrated module in an Elliptic Parking Orbit (EPO) of size ~170 x 36500 km.
The mission objectives of Chandrayaan-3 are:

To achieve the mission objectives, several advanced technologies are present in Lander such as,

To demonstrate the above said advanced technologies in earth condition, several Lander special tests have been planned and carried out successfully viz.
The overall specifications for Chandrayaan-3 is provided below:
The objectives of scientific payloads planned on Chandrayaan-3 Lander Module and Rover are provided below:
Three dimensional views of Chandrayaan-3 modules are provided below:",LVM3 M4 / Chandrayaan-3 Mission
NVS-01,2023-05-29,GSLV-F12,GEO,Navigation,https://www.isro.gov.in/GSLV_F12_Landingpage.html,https://www.isro.gov.in/media_isro/pdf/Missions/GSLVF12/GSLVF12_NVS01_Mission.pdf,"May 22, 2023

GSLV-F12/NVS-01 mission is accomplished successfully on Monday, May 29, 2023.  This Geosynchronous Satellite Launch Vehicle (GSLV) mission deployed NVS-01 navigation satellite, weighing about 2232 kg, into a Geosynchronous Transfer Orbit. The vehicle lifted off at 10:42 hours IST from the second launch pad at SDSC-SHAR, Sriharikota and injected the satellite after about 19 minutes of flight.
NVS-01 is the first of the second-generation satellites envisaged for the Navigation with Indian Constellation (NavIC) services. NVS series of satellites will sustain and augment the NavIC with enhanced features. This series incorporates L1 band signals additionally to widen the services. For the first time, an indigenous atomic clock will be flown in NVS-01.",GSLV-F12/NVS-01 Mission
EOS-07,2023-02-10,SSLV-D2,unknown,Earth Observation,https://www.isro.gov.in/EOS_07.html,unknown,"Feb 22, 2023

Mission Parameter:

Structure:

Structure:

Thermal Control:

Mechanism:

Power:

Sensors:

Actuators:

AOCS:

Onboard Computer:

RF System:

Data Handling & Storage:

Major Payloads: -",SSLV-D2/EOS-07 Mission
INS-2B,2022-11-26,PSLV-C54,unknown,Earth Observation,https://www.isro.gov.in/EOS_06.html#eos,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC54/PSLVC54_EOS6_BrochureV4.pdf,"Nov 22, 2022Back to ISRO
                                        Timeline
Global false colour composite mosaic generated from EOS-06 data

EOS-6 is the third-generation satellite
in the Oceansat series. This is to provide
continuity services of Oceansat-2
spacecraft with enhanced payload
specifications as well as application areas.","PSLV-C54/EOS-06
                                          Mission"
EOS-06,2022-11-26,PSLV-C54,unknown,Earth Observation,https://www.isro.gov.in/EOS_06.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC54/PSLVC54_EOS6_BrochureV4.pdf,"Nov 22, 2022Back to ISRO
                                        Timeline
Global false colour composite mosaic generated from EOS-06 data

EOS-6 is the third-generation satellite
in the Oceansat series. This is to provide
continuity services of Oceansat-2
spacecraft with enhanced payload
specifications as well as application areas.","PSLV-C54/EOS-06
                                          Mission"
EOS-02,2022-08-07,SSLV-D1,unknown,Earth Observation,https://www.isro.gov.in/mission_EOS_02.html,https://www.isro.gov.in/media_isro/pdf/Missions/sslv_brochure/sslvd1-eos2_-_mission_brochure.pdf,"Aug 07, 2022
EOS-02 is an earth observation satellite designed and realised by ISRO. This microsat series satellite offers advanced optical remote sensing operating in infra-red band with high spatial resolution. The bus configuration is derived from IMS-1 bus.
प्रमोचक राकेट / Launch Vehicle:SSLV-D1/EOS-02 Missionउपग्रह का प्रकार / Type of Satellite:Earth Observationनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Earth Observation","SSLV-D1/EOS-02
                                          Mission"
GSAT-24,2022-06-23,Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_24.html,unknown,unknown,Ariane-V(VS257)
INS-2TD,2022-02-14,PSLV-C52,unknown,Experimental,https://www.isro.gov.in/mission_PSLV_C52_INS_2TD.html,https://www.isro.gov.in/media_isro/pdf/Missions/pslv-c52-eos-04-v4.pdf,"INS-2TD a technology demonstrator satellite from ISRO, which is a
                                    precursor to India-Bhutan Joint Satellite (INS-2B).
प्रमोचक राकेट / Launch Vehicle:PSLV-C52/EOS-04 Missionउपग्रह का प्रकार / Type of Satellite:Experimentalनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Experimental","PSLV-C52/EOS-04
                                          Mission"
EOS-04,2022-02-14,PSLV-C52,unknown,Earth Observation,https://www.isro.gov.in/mission_PSLV_C52_EOS_04.html,https://www.isro.gov.in/media_isro/pdf/Missions/pslv-c52-eos-04-v4.pdf,"EOS-04 is a Radar Imaging Satellite designed to provide high quality
                                    images under all weather conditions for applications such as
                                    Agriculture, Forestry & Plantations, Soil Moisture & Hydrology and Flood
                                    mapping.
प्रमोचक राकेट / Launch Vehicle:PSLV-C52/EOS-04 Missionउपग्रह का प्रकार / Type of Satellite:Earth Observationअनुप्रयोग / Application:Earth Observation","PSLV-C52/EOS-04
                                          Mission"
EOS-03,2021-08-12,GSLV-F10,GTO (Geosynchronous Transfer Orbit),Earth Observation,https://www.isro.gov.in/EOS_03.html,https://www.isro.gov.in/media_isro/pdf/gslv_f10_eos-03_mission_brochure.pdf,"Aug 12, 2021Back to ISRO Timeline","GSLV-F10 /
                                          EOS-03
                                          Mission"
CMS-01,2020-12-17,PSLV-C50,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/mission_PSLV_C50_CMS_01.html,https://www.isro.gov.in/media_isro/pdf/Missions/pslv-c50_cms-01_mission_-_brochure_-_ver_8.pdf,"CMS-01 is a communication satellite envisaged for providing services in
                                    Extended-C Band of the frequency spectrum. The Extended-C Band coverage
                                    will include Indian mainland, Andaman-Nicobar & Lakshadweep Islands.
                                    CMS-01 is the 42nd Communication Satellite of India.
मिशन कालावधि / Mission Life:7 yearsप्रमोचक राकेट / Launch Vehicle:PSLV-C50/CMS-01उपग्रह का प्रकार / Type of Satellite:Communicationनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Communicationकक्षा का प्रकार / Orbit Type:GSO (Geosynchronous Orbit)",PSLV-C50/CMS-01
EOS-01,2020-11-07,PSLV-C49,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",https://www.isro.gov.in/mission_PSLV_C49_EOS_01.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV-C49%20EOS-01%20Mission.pdf,"EOS-01 is an earth observation satellite, intended for applications in
                                    agriculture, forestry and disaster management support.
प्रमोचक राकेट / Launch Vehicle:PSLV-C49/EOS-01उपग्रह का प्रकार / Type of Satellite:Earth Observationनिर्माता / Manufacturer:ISROस्‍वामी / Owner:ISROअनुप्रयोग / Application:Disaster Management System Earth
                                    Observationकक्षा का प्रकार / Orbit Type:LEO (Low Earth Orbit)",PSLV-C49/EOS-01
GSAT-30,2020-01-17,Ariane-5 VA-251,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT_30.html,unknown,Back to ISRO Timeline,Ariane-5 VA-251
